"Date Scrapped","Plaza Name","TollPlazaID","Distance","Type of vehicle","Single Journey","Return Journey","Monthly Pass","Commercial Vehicle Registered within the district of plaza"
"2022-12-19", Badava ( Public Funded ) ,4486,36,Car/Jeep/Van,65.0,100.0,2235.0,35.0
"2022-12-19", Badava ( Public Funded ) ,4486,36,LCV,110.0,165.0,3615.0,55.0
"2022-12-19", Badava ( Public Funded ) ,4486,36,Bus/Truck,225.0,340.0,7570.0,115.0
"2022-12-19", Badava ( Public Funded ) ,4486,36,Upto 3 Axle Vehicle,250.0,370.0,8260.0,125.0
"2022-12-19", Badava ( Public Funded ) ,4486,36,"4 to 6 Axle",355.0,535.0,11875.0,180.0
"2022-12-19", Badava ( Public Funded ) ,4486,36,HCM/EME,355.0,535.0,11875.0,180.0
"2022-12-19", Badava ( Public Funded ) ,4486,36,"7 or more Axle",435.0,650.0,14455.0,215.0
"2022-12-19", Bolapalli ( BOT (Toll) ) ,252,70,Car/Jeep/Van,165.0,245.0,5475.0,
"2022-12-19", Bolapalli ( BOT (Toll) ) ,252,70,LCV,255.0,385.0,8565.0,
"2022-12-19", Bolapalli ( BOT (Toll) ) ,252,70,Bus/Truck,525.0,785.0,17485.0,
"2022-12-19", Bolapalli ( BOT (Toll) ) ,252,70,Upto 3 Axle Vehicle,805.0,1210.0,26865.0,
"2022-12-19", Bolapalli ( BOT (Toll) ) ,252,70,"4 to 6 Axle",805.0,1210.0,26865.0,
"2022-12-19", Bolapalli ( BOT (Toll) ) ,252,70,HCM/EME,805.0,1210.0,26865.0,
"2022-12-19", Bolapalli ( BOT (Toll) ) ,252,70,"7 or more Axle",1025.0,1535.0,34125.0,
"2022-12-19", Davuluru ( Public Funded ) ,4578,63,Car/Jeep/Van,120.0,180.0,3975.0,60.0
"2022-12-19", Davuluru ( Public Funded ) ,4578,63,LCV,195.0,290.0,6420.0,95.0
"2022-12-19", Davuluru ( Public Funded ) ,4578,63,Bus/Truck,405.0,605.0,13455.0,200.0
"2022-12-19", Davuluru ( Public Funded ) ,4578,63,Upto 3 Axle Vehicle,440.0,660.0,14680.0,220.0
"2022-12-19", Davuluru ( Public Funded ) ,4578,63,"4 to 6 Axle",635.0,950.0,21100.0,315.0
"2022-12-19", Davuluru ( Public Funded ) ,4578,63,HCM/EME,635.0,950.0,21100.0,315.0
"2022-12-19", Davuluru ( Public Funded ) ,4578,63,"7 or more Axle",770.0,1155.0,25685.0,385.0
"2022-12-19", Chintalapalem ( Public Funded ) ,4485,42,Car/Jeep/Van,35.0,50.0,1145.0,15.0
"2022-12-19", Chintalapalem ( Public Funded ) ,4485,42,LCV,55.0,85.0,1845.0,30.0
"2022-12-19", Chintalapalem ( Public Funded ) ,4485,42,Bus/Truck,115.0,175.0,3870.0,60.0
"2022-12-19", Chintalapalem ( Public Funded ) ,4485,42,Upto 3 Axle Vehicle,125.0,190.0,4220.0,65.0
"2022-12-19", Chintalapalem ( Public Funded ) ,4485,42,"4 to 6 Axle",180.0,275.0,6070.0,90.0
"2022-12-19", Chintalapalem ( Public Funded ) ,4485,42,HCM/EME,180.0,275.0,6070.0,90.0
"2022-12-19", Chintalapalem ( Public Funded ) ,4485,42,"7 or more Axle",220.0,330.0,7390.0,110.0
"2022-12-19", Chapirevula ( BOT (Toll) ) ,5876,60,Car/Jeep/Van,120.0,180.0,3975.0,
"2022-12-19", Chapirevula ( BOT (Toll) ) ,5876,60,LCV,185.0,280.0,6235.0,
"2022-12-19", Chapirevula ( BOT (Toll) ) ,5876,60,Bus/Truck,385.0,575.0,12810.0,
"2022-12-19", Chapirevula ( BOT (Toll) ) ,5876,60,Upto 3 Axle Vehicle,590.0,885.0,19710.0,
"2022-12-19", Chapirevula ( BOT (Toll) ) ,5876,60,"4 to 6 Axle",590.0,885.0,19710.0,
"2022-12-19", Chapirevula ( BOT (Toll) ) ,5876,60,HCM/EME,590.0,885.0,19710.0,
"2022-12-19", Chapirevula ( BOT (Toll) ) ,5876,60,"7 or more Axle",750.0,1120.0,24915.0,
"2022-12-19", Chinaganjam ( Public Funded ) ,5953,57,Car/Jeep/Van,65.0,95.0,2130.0,30.0
"2022-12-19", Chinaganjam ( Public Funded ) ,5953,57,LCV,105.0,155.0,3440.0,50.0
"2022-12-19", Chinaganjam ( Public Funded ) ,5953,57,Bus/Truck,215.0,325.0,7210.0,110.0
"2022-12-19", Chinaganjam ( Public Funded ) ,5953,57,Upto 3 Axle Vehicle,235.0,355.0,7870.0,120.0
"2022-12-19", Chinaganjam ( Public Funded ) ,5953,57,"4 to 6 Axle",340.0,510.0,11310.0,170.0
"2022-12-19", Chinaganjam ( Public Funded ) ,5953,57,HCM/EME,340.0,510.0,11310.0,170.0
"2022-12-19", Chinaganjam ( Public Funded ) ,5953,57,"7 or more Axle",415.0,620.0,13770.0,205.0
"2022-12-19", Chitimiti Chintala ( Public Funded ) ,5698,32,Car/Jeep/Van,30.0,45.0,965.0,15.0
"2022-12-19", Chitimiti Chintala ( Public Funded ) ,5698,32,LCV,45.0,70.0,1555.0,25.0
"2022-12-19", Chitimiti Chintala ( Public Funded ) ,5698,32,Bus/Truck,100.0,145.0,3260.0,50.0
"2022-12-19", Chitimiti Chintala ( Public Funded ) ,5698,32,Upto 3 Axle Vehicle,105.0,160.0,3555.0,55.0
"2022-12-19", Chitimiti Chintala ( Public Funded ) ,5698,32,"4 to 6 Axle",155.0,230.0,5110.0,75.0
"2022-12-19", Chitimiti Chintala ( Public Funded ) ,5698,32,HCM/EME,155.0,230.0,5110.0,75.0
"2022-12-19", Chitimiti Chintala ( Public Funded ) ,5698,32,"7 or more Axle",185.0,280.0,6220.0,95.0
"2022-12-19", Cholasamudram ( Public Funded ) ,5948,56,Car/Jeep/Van,60.0,90.0,2000.0,30.0
"2022-12-19", Cholasamudram ( Public Funded ) ,5948,56,LCV,95.0,145.0,3230.0,50.0
"2022-12-19", Cholasamudram ( Public Funded ) ,5948,56,Bus/Truck,205.0,305.0,6770.0,100.0
"2022-12-19", Cholasamudram ( Public Funded ) ,5948,56,Upto 3 Axle Vehicle,220.0,330.0,7385.0,110.0
"2022-12-19", Cholasamudram ( Public Funded ) ,5948,56,"4 to 6 Axle",320.0,480.0,10615.0,160.0
"2022-12-19", Cholasamudram ( Public Funded ) ,5948,56,HCM/EME,320.0,480.0,10615.0,160.0
"2022-12-19", Cholasamudram ( Public Funded ) ,5948,56,"7 or more Axle",390.0,580.0,12925.0,195.0
"2022-12-19", Jodi Dharampuram ( Public Funded ) ,5755,59,Car/Jeep/Van,55.0,80.0,1800.0,25.0
"2022-12-19", Jodi Dharampuram ( Public Funded ) ,5755,59,LCV,85.0,130.0,2910.0,45.0
"2022-12-19", Jodi Dharampuram ( Public Funded ) ,5755,59,Bus/Truck,185.0,275.0,6095.0,90.0
"2022-12-19", Jodi Dharampuram ( Public Funded ) ,5755,59,Upto 3 Axle Vehicle,200.0,300.0,6650.0,100.0
"2022-12-19", Jodi Dharampuram ( Public Funded ) ,5755,59,"4 to 6 Axle",285.0,430.0,9555.0,145.0
"2022-12-19", Jodi Dharampuram ( Public Funded ) ,5755,59,HCM/EME,285.0,430.0,9555.0,145.0
"2022-12-19", Jodi Dharampuram ( Public Funded ) ,5755,59,"7 or more Axle",350.0,525.0,11635.0,175.0
"2022-12-19", Jellipalli ( Public Funded ) ,5670,71,Car/Jeep/Van,65.0,100.0,2205.0,35.0
"2022-12-19", Jellipalli ( Public Funded ) ,5670,71,LCV,105.0,160.0,3560.0,55.0
"2022-12-19", Jellipalli ( Public Funded ) ,5670,71,Bus/Truck,225.0,335.0,7460.0,110.0
"2022-12-19", Jellipalli ( Public Funded ) ,5670,71,Upto 3 Axle Vehicle,245.0,365.0,8140.0,120.0
"2022-12-19", Jellipalli ( Public Funded ) ,5670,71,"4 to 6 Axle",350.0,525.0,11700.0,175.0
"2022-12-19", Jellipalli ( Public Funded ) ,5670,71,HCM/EME,350.0,525.0,11700.0,175.0
"2022-12-19", Jellipalli ( Public Funded ) ,5670,71,"7 or more Axle",425.0,640.0,14245.0,215.0
"2022-12-19", Gollaprolu ( Public Funded ) ,4617,17,Car/Jeep/Van,45.0,70.0,1560.0,25.0
"2022-12-19", Gollaprolu ( Public Funded ) ,4617,17,LCV,75.0,115.0,2520.0,40.0
"2022-12-19", Gollaprolu ( Public Funded ) ,4617,17,Bus/Truck,160.0,240.0,5285.0,80.0
"2022-12-19", Gollaprolu ( Public Funded ) ,4617,17,Upto 3 Axle Vehicle,175.0,260.0,5765.0,85.0
"2022-12-19", Gollaprolu ( Public Funded ) ,4617,17,"4 to 6 Axle",250.0,375.0,8290.0,125.0
"2022-12-19", Gollaprolu ( Public Funded ) ,4617,17,HCM/EME,250.0,375.0,8290.0,125.0
"2022-12-19", Gollaprolu ( Public Funded ) ,4617,17,"7 or more Axle",305.0,455.0,10090.0,150.0
"2022-12-19", Gadanki ( Public Funded ) ,5770,49,Car/Jeep/Van,115.0,170.0,3790.0,55.0
"2022-12-19", Gadanki ( Public Funded ) ,5770,49,LCV,185.0,275.0,6125.0,90.0
"2022-12-19", Gadanki ( Public Funded ) ,5770,49,Bus/Truck,385.0,580.0,12835.0,195.0
"2022-12-19", Gadanki ( Public Funded ) ,5770,49,Upto 3 Axle Vehicle,420.0,630.0,14000.0,210.0
"2022-12-19", Gadanki ( Public Funded ) ,5770,49,"4 to 6 Axle",605.0,905.0,20125.0,300.0
"2022-12-19", Gadanki ( Public Funded ) ,5770,49,HCM/EME,605.0,905.0,20125.0,300.0
